ProcessName,Stage,Behavior,SequenceOrder,AllowSelfLoop
MA-2_3,M/A,SINGLE,,
MA-4,M/A,SINGLE,,
MA-5,M/A,SINGLE,,
MA-6,M/A,SINGLE,,
MA-7,M/A,SINGLE,,
MA-8,M/A,SINGLE,,
,,,,
AOI-5,AOI,SEQUENTIAL,1,0
AOI-7,AOI,SEQUENTIAL,2,0
AOI-6,AOI,SEQUENTIAL,1,0
AOI-8,AOI,SEQUENTIAL,2,0
AOI-9,AOI,SEQUENTIAL,1,0
AOI-10,AOI,SEQUENTIAL,2,0
AOI-11,AOI,SEQUENTIAL,,1
,,,,
SPOT-1,SPOT,ALTERNATIVE,,
SPOT-2,SPOT,ALTERNATIVE,,
SPOT-3,SPOT,ALTERNATIVE,,
SPOT-4,SPOT,ALTERNATIVE,,
SPOT-5,SPOT,ALTERNATIVE,,
SPOT-6,SPOT,ALTERNATIVE,,
PCB Sep.,SPOT,ALTERNATIVE,,
,,,,
SB-AB-1,Sealer,ALTERNATIVE,,
SB-AB-2,Sealer,ALTERNATIVE,,
SB-Eng-1,Sealer,ALTERNATIVE,,
SB-Eng-2,Sealer,ALTERNATIVE,,
SB-Eng-3,Sealer,ALTERNATIVE,,
SB ELFI,Sealer,ALTERNATIVE,,
SIDE FILL,Sealer,ALTERNATIVE,,
,,,,
FA AC-1,FA,TERMINAL,,
FA AB-1,FA,TERMINAL,,
FA AB-2,FA,TERMINAL,,
FA AB-3,FA,TERMINAL,,
FA NWP-3,FA,TERMINAL,,
FA NWP-4,FA,TERMINAL,,
FA CS-1,FA,TERMINAL,,
FA WP-2,FA,TERMINAL,,
FA WP-3,FA,TERMINAL,,
FA WP-4,FA,TERMINAL,,
FA WP-5,FA,TERMINAL,,
FA WP-6,FA,TERMINAL,,
PWC,FA,TERMINAL,,
CBMU,FA,TERMINAL,,
